x,y,u,v
13.921922,50.964726,-5.5e-05,0.000795
13.921922,50.964817,-3.7e-05,0.000689
13.922065,50.964726,-0.000118,0.000884
13.922065,50.964817,2.8e-05,0.000765
13.922065,50.964908,0.000144,0.000703
13.922065,50.964999,8.3e-05,0.000588
13.922065,50.96509,6e-05,0.000547
13.922209,50.964817,-4.4e-05,0.000951
13.922209,50.964908,9.4e-05,0.000693
13.922209,50.964999,0.000257,0.000596
13.922209,50.96509,0.000303,0.000611
13.922209,50.965181,0.000203,0.0005
13.922209,50.965272,0.000132,0.000466
13.922209,50.965363,5.8e-05,0.000507
13.922352,50.964817,-0.000111,0.001051
13.922352,50.964908,-5e-06,0.001004
13.922352,50.964999,0.000185,0.000798
13.922352,50.96509,0.000287,0.000493
13.922352,50.965181,0.000429,0.000418
13.922352,50.965272,0.000411,0.000485
13.922352,50.965363,0.000301,0.000434
13.922352,50.965454,0.000186,0.000396
13.922352,50.965545,0.000121,0.000432
13.922352,50.965636,1.1e-05,0.000431
13.922496,50.964817,-4.3e-05,0.001162
13.922496,50.964908,7e-06,0.00099
13.922496,50.964999,4.5e-05,0.000888
13.922496,50.96509,0.000208,0.000855
13.922496,50.965181,0.000397,0.000624
13.922496,50.965272,0.000451,0.000338
13.922496,50.965363,0.00051,0.000281
13.922496,50.965454,0.00045,0.000346
13.922496,50.965545,0.000344,0.000354
13.922496,50.965636,0.00023,0.000334
13.922496,50.965727,0.000137,0.000344
13.922496,50.965818,7.4e-05,0.000317
13.922496,50.965909,3e-06,0.000283
13.922639,50.964817,-0.000128,0.001325
13.922639,50.964908,0.000169,0.001092
13.922639,50.964999,0.000336,0.000999
13.922639,50.96509,0.000333,0.000845
13.922639,50.965181,0.000262,0.000661
13.922639,50.965272,0.00035,0.000598
13.922639,50.965363,0.000466,0.000433
13.922639,50.965454,0.000532,0.000231
13.922639,50.965545,0.000475,0.000212
13.922639,50.965636,0.000392,0.000223
13.922639,50.965727,0.000283,0.000248
13.922639,50.965818,0.000191,0.00025
13.922639,50.965909,0.000118,0.00021
13.922639,50.966,-1e-06,0.000145
13.922783,50.964908,-1.2e-05,0.001454
13.922783,50.964999,0.000285,0.001052
13.922783,50.96509,0.000529,0.000781
13.922783,50.965181,0.000595,0.000641
13.922783,50.965272,0.000622,0.000542
13.922783,50.965363,0.000553,0.000463
13.922783,50.965454,0.000573,0.000355
13.922783,50.965545,0.000531,0.000215
13.922783,50.965636,0.000379,0.000142
13.922783,50.965727,0.000255,0.000143
13.922783,50.965818,0.000264,0.000151
13.922783,50.965909,0.000169,9.1e-05
13.922783,50.966,-1.1e-05,-2.9e-05
13.922927,50.964908,-0.00041,0.001691
13.922927,50.964999,-0.000205,0.00154
13.922927,50.96509,0.000118,0.001155
13.922927,50.965181,0.000435,0.000754
13.922927,50.965272,0.000672,0.000556
13.922927,50.965363,0.000701,0.000385
13.922927,50.965454,0.000653,0.000208
13.922927,50.965545,0.000497,1.8e-05
13.922927,50.965636,0.000172,-5.2e-05
13.922927,50.965727,8.7e-05,0.000133
13.922927,50.965818,0.000308,0.000163
13.922927,50.965909,0.000251,-6.5e-05
13.922927,50.966,-1.9e-05,-0.000244
13.92307,50.964908,-0.000477,0.001686
13.92307,50.964999,-0.000481,0.00158
13.92307,50.96509,-0.000443,0.001422
13.92307,50.965181,-0.00021,0.001196
13.92307,50.965272,2.3e-05,0.000808
13.92307,50.965363,0.000188,0.000444
13.92307,50.965454,0.000255,0.000151
13.92307,50.965545,9e-05,-0.000266
13.92307,50.965636,-4.7e-05,-0.000268
13.92307,50.965727,6.2e-05,0.000279
13.92307,50.965818,0.00033,0.000316
13.92307,50.965909,0.000357,-0.000236
13.92307,50.966,7e-06,-0.000548
13.923214,50.964908,-0.000466,0.001669
13.923214,50.964999,-0.000476,0.001575
13.923214,50.96509,-0.00048,0.001426
13.923214,50.965181,-0.00048,0.001219
13.923214,50.965272,-0.0005,0.000955
13.923214,50.965363,-0.000408,0.000617
13.923214,50.965454,-0.000314,0.00011
13.923214,50.965545,-0.00034,-0.000284
13.923214,50.965636,-0.000141,-8e-05
13.923214,50.965727,0.000154,0.00051
13.923214,50.965818,0.000329,0.000458
13.923214,50.965909,0.000367,-0.000388
13.923214,50.966,9.6e-05,-0.000899
13.923357,50.964999,-0.00049,0.001565
13.923357,50.96509,-0.000524,0.001417
13.923357,50.965181,-0.000641,0.001176
13.923357,50.965272,-0.000713,0.00088
13.923357,50.965363,-0.000706,0.00063
13.923357,50.965454,-0.000609,0.000218
13.923357,50.965545,-0.000411,-9.3e-05
13.923357,50.965636,-0.000102,0.000226
13.923357,50.965727,0.000102,0.00075
13.923357,50.965818,0.000309,0.000529
13.923357,50.965909,0.000117,-0.000469
13.923501,50.964999,-0.000565,0.001516
13.923501,50.96509,-0.000702,0.001275
13.923501,50.965181,-0.000811,0.001031
13.923501,50.965272,-0.000824,0.000889
13.923501,50.965363,-0.000759,0.00072
13.923501,50.965454,-0.00065,0.000406
13.923501,50.965545,-0.000331,0.000223
13.923501,50.965636,-8.7e-05,0.000432
13.923501,50.965727,-0.000132,0.000921
13.923501,50.965818,-9.6e-05,0.000473
13.923501,50.965909,-0.000674,-0.000883
13.923645,50.964999,-0.000558,0.001328
13.923645,50.96509,-0.000661,0.001171
13.923645,50.965181,-0.000655,0.001054
13.923645,50.965272,-0.000637,0.000933
13.923645,50.965363,-0.000605,0.000803
13.923645,50.965454,-0.000506,0.000646
13.923645,50.965545,-0.000261,0.00047
13.923645,50.965636,-0.000178,0.000424
13.923645,50.965727,-0.000313,0.000741
13.923645,50.965818,-0.00087,-1.3e-05
13.923645,50.965909,-0.000711,-0.000745
13.923788,50.964999,-0.000466,0.001292
13.923788,50.96509,-0.000497,0.001179
13.923788,50.965181,-0.000508,0.001054
13.923788,50.965272,-0.000485,0.000939
13.923788,50.965363,-0.000424,0.000851
13.923788,50.965454,-0.00033,0.00075
13.923788,50.965545,-0.000196,0.000552
13.923788,50.965636,-0.000143,0.00038
13.923788,50.965727,-0.000354,0.000229
13.923788,50.965818,-0.000731,7.5e-05
13.923932,50.96509,-0.00043,0.001129
13.923932,50.965181,-0.000428,0.001067
13.923932,50.965272,-0.000383,0.001017
13.923932,50.965363,-0.000306,0.000958
13.923932,50.965454,-0.000215,0.000874
13.923932,50.965545,-9.3e-05,0.000657
13.923932,50.965636,1.1e-05,0.000267
13.923932,50.965727,-0.000321,0.000153
13.923932,50.965818,-0.000203,0.000154
13.924075,50.96509,-0.000323,0.001143
13.924075,50.965181,-0.000287,0.001101
13.924075,50.965272,-0.000241,0.001061
13.924075,50.965363,-0.000185,0.001019
13.924075,50.965454,-0.000118,0.000963
13.924075,50.965545,-2.7e-05,0.000778
13.924075,50.965636,-9.4e-05,0.000151
13.924075,50.965727,-0.000275,1.5e-05
13.924075,50.965818,-0.000196,0.000194
13.924219,50.96509,-0.000287,0.001173
13.924219,50.965181,-0.000246,0.001149
13.924219,50.965272,-0.000195,0.001119
13.924219,50.965363,-0.000135,0.00108
13.924219,50.965454,-6.8e-05,0.001032
13.924219,50.965545,1.1e-05,0.000682
13.924219,50.965636,-0.000444,1.9e-05
13.924219,50.965727,-0.000245,5.1e-05
13.924363,50.96509,-0.000288,0.001206
13.924363,50.965181,-0.000251,0.001193
13.924363,50.965272,-0.0002,0.001172
13.924363,50.965363,-0.000147,0.001146
13.924363,50.965454,-7.9e-05,0.001108
13.924363,50.965545,-3e-06,0.000402
13.924363,50.965636,-0.000621,-0.000104
13.924363,50.965727,-0.000218,0.000266
13.924506,50.965181,-0.000266,0.001237
13.924506,50.965272,-0.000223,0.001223
13.924506,50.965363,-0.000171,0.001202
13.924506,50.965454,-0.000109,0.001176
13.924506,50.965545,-0.000159,0.000139
13.924506,50.965636,-0.000487,-0.000196
13.924506,50.965727,-0.000195,0.000476
13.92465,50.965181,-0.000281,0.001268
13.92465,50.965272,-0.000247,0.001267
13.92465,50.965363,-0.000194,0.00126
13.92465,50.965454,-0.000141,0.00112
13.92465,50.965545,-0.000447,2.4e-05
13.92465,50.965636,-0.000311,-0.00014
13.924793,50.965181,-0.000298,0.001299
13.924793,50.965272,-0.000263,0.00131
13.924793,50.965363,-0.00022,0.001308
13.924793,50.965454,-0.000172,0.000923
13.924793,50.965545,-0.000737,-3.1e-05
13.924793,50.965636,-0.000248,7.3e-05
13.924937,50.965181,-0.000315,0.001328
13.924937,50.965272,-0.000284,0.001345
13.924937,50.965363,-0.000248,0.001351
13.924937,50.965454,-0.000196,0.000603
13.924937,50.965545,-0.00076,-5.2e-05
13.924937,50.965636,-0.000208,0.000418
13.92508,50.965272,-0.000304,0.001377
13.92508,50.965363,-0.000267,0.001396
13.92508,50.965454,-0.000246,0.000411
13.92508,50.965545,-0.000526,-4.3e-05
13.925224,50.965272,-0.000317,0.001405
13.925224,50.965363,-0.000286,0.001409
13.925224,50.965454,-0.000436,0.000344
13.925224,50.965545,-0.000375,2e-05
13.925368,50.965272,-0.000333,0.001429
13.925368,50.965363,-0.000309,0.001277
13.925368,50.965454,-0.000703,0.000322
13.925368,50.965545,-0.000294,0.000228
13.925511,50.965272,-0.000346,0.001445
13.925511,50.965363,-0.000326,0.001039
13.925511,50.965454,-0.000721,0.000359
13.925655,50.965363,-0.000368,0.000902
13.925655,50.965454,-0.000503,0.000425
13.925798,50.965363,-0.000413,0.000893
13.925798,50.965454,-0.000371,0.000545
13.925942,50.965363,-0.000433,0.000898
13.926086,50.965363,-0.000459,0.000932
